LOJA;ITEM ;Rede;STATUS 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;ECONOMICO 100L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;ECONOMICO 100L ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;ECONOMICO 15L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;ECONOMICO 30L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;ECONOMICO 50L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;HIPERROLL 100L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;HIPERROLL 15L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;HIPERROLL 30L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;HIPERROLL 50L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;REFORCADO 100L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;REFORCADO 200L;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA 29X39;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA 29X39 ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA 38X48;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA 38X48 ;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA VERDE 38X50;BAHAMAS;ATIVO 
33 - SUPERMERCADO BAHAMAS UBERLANDIA STA ROSA.;SACOLA VERDE 40X50;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BOBINA 20X30;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BOBINA 25X35;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BOBINA 30X40;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 100L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 100L REF ;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 15L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 200L REF ;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 30L;BAHAMAS;ATIVO 
34 - BAHAMAS MIX MURIAE.;BRAMIL LIXO 50L ;BAHAMAS;ATIVO 
